DMU,panel_area,wind_mills,storage,demand_met,pct_dem_met,reward_risk,energy_purchased,energy_sold,population,total_prod,area
1,2400,6,2000,0.805077777778,0.931676691801,2.46142694605,236359.645741,1893296.45262,50000,15773.0121093,11400
2,2400,6,2100,0.808605555556,0.925135543801,2.45924495155,230947.252242,1892379.26194,50000,15777.5198115,11400
3,2400,6,2200,0.811569444444,0.924360567786,2.45816683847,225911.029717,1884993.83732,50000,15779.1722235,11400
4,2400,6,2300,0.816472222222,0.935324271244,2.45877842523,218139.784211,1889213.22762,50000,15796.3956303,11400
5,2400,6,2400,0.817811111111,0.925820006017,2.45869775774,215242.507058,1878646.19518,50000,15768.9099556,11400
6,2200,7,2400,0.803483333333,0.92475846665,2.24752103241,236946.113834,1927608.74917,50000,15829.3455207,11200
7,2300,7,1900,0.802661111111,0.928024098196,2.27858230305,242049.310837,2067594.71295,50000,16255.1551064,11300
8,2300,7,2000,0.806561111111,0.932038508458,2.27422334543,235078.591661,2066808.90305,50000,16268.7753617,11300
9,2300,7,2100,0.809230555556,0.911008942645,2.28062489965,230602.014345,2062748.75507,50000,16261.5717402,11300
10,2300,7,2200,0.8123,0.921506501988,2.282780268,226484.344281,2058494.48075,50000,16252.5057829,11300
11,2300,7,2300,0.815652777778,0.925736772856,2.28468320919,221674.63266,2052757.57374,50000,16249.4164767,11300
12,2300,7,2400,0.819708333333,0.935749548009,2.28697082958,214339.969442,2049482.7935,50000,16248.0010069,11300
13,2400,7,1500,0.804005555556,0.931873494973,2.31861766207,243258.480976,2196817.30931,50000,16675.9663296,11400
14,2400,7,1600,0.807402777778,0.915360848769,2.31211544331,235968.814854,2198469.07554,50000,16676.2606643,11400
15,2400,7,1700,0.811152777778,0.917999263344,2.32278358188,230655.386289,2191488.36538,50000,16681.5142649,11400
16,2400,7,1800,0.814236111111,0.931144893101,2.32175703671,225425.230357,2189057.64382,50000,16678.646724,11400
17,2400,7,1900,0.817769444444,0.940797317165,2.31294689962,220270.094565,2180421.48914,50000,16653.3406632,11400
18,2400,7,2000,0.820016666667,0.933025597328,2.3180858447,215138.723057,2180603.22896,50000,16658.1546234,11400
19,2400,7,2100,0.824266666667,0.927188267248,2.32375970464,211122.825729,2173289.27562,50000,16647.3625929,11400
20,2400,7,2200,0.82815,0.918325327769,2.32020478022,205570.020791,2173049.89162,50000,16657.2906723,11400
21,2400,7,2300,0.832572222222,0.936983690257,2.32443200877,199599.396178,2182865.93241,50000,16688.8068832,11400
22,2400,7,2400,0.835355555556,0.928858356615,2.31824573981,194500.945986,2172941.93262,50000,16678.6783417,11400
23,2100,8,2400,0.802383333333,0.92939356485,2.08553908258,240261.494247,2103229.47196,50000,16290.8878556,11100
24,2200,8,1900,0.802394444444,0.920733410827,2.12398640243,243121.259356,2239978.9992,50000,16731.37831,11200
25,2200,8,2000,0.805711111111,0.927664945837,2.1279582759,238265.078857,2233687.33291,50000,16714.8252436,11200
26,2200,8,2100,0.808791666667,0.925894436479,2.12853589953,233435.810537,2229718.99753,50000,16713.0285666,11200
27,2200,8,2200,0.812013888889,0.922035941438,2.11985293526,227962.138994,2225139.81478,50000,16711.852771,11200
28,2200,8,2300,0.816077777778,0.92961241587,2.12454842121,222042.915891,2227791.98193,50000,16725.0455424,11200
29,2200,8,2400,0.819155555556,0.91384376833,2.13233368701,216531.409833,2219817.82458,50000,16716.6414825,11200
30,2300,8,1400,0.800069444444,0.922593010431,2.16244883229,249838.412307,2369770.49442,50000,17150.085882,11300
31,2300,8,1500,0.803752777778,0.927720896854,2.16253698463,242675.11148,2367882.7786,50000,17149.7633861,11300
32,2300,8,1600,0.808447222222,0.922244015995,2.17123772814,235890.664563,2363528.07451,50000,17153.4135453,11300
33,2300,8,1700,0.812266666667,0.932182437814,2.16519221991,231500.463564,2366464.11094,50000,17163.7874875,11300
34,2300,8,1800,0.815880555556,0.930872855583,2.16787698056,224822.353395,2364114.7854,50000,17160.9818619,11300
