DMU,(I)Pannel,(I)Wind,(I)Battery
1,2400,6,2000
2,2399.19888833393,5.99799722083484,2099.29902729219
3,2398.3664025494,5.99591600637351,2198.50253567029
4,2400,6,2300
5,2400,6,2400
6,2200,7,2400
7,2300,7,1900
8,2297.69789514826,6.99299359392948,1997.99816969414
9,2291.43819767222,6.97394234074155,2092.18270222247
10,2286.62465455052,6.95929242689289,2187.20619130919
11,2282.66209500515,6.94723246305915,2282.66209500515
12,2281.00495146601,6.94218898272263,2380.17907979062
13,2400,7,1500
14,2394.2466183428,6.98321930349983,1596.16441222853
15,2389.60853763173,6.96969156809256,1692.63938082248
16,2383.07867875134,6.95064614635807,1787.3090090635
17,2377.94179930729,6.93566358131292,1882.53725778494
18,2369.36386722775,6.91064461274761,1974.46988935646
19,2367.96886562003,6.90657585805843,2071.97275741753
20,2365.54148734267,6.89949600474945,2168.41303006411
21,2364.67253656061,6.89696156496843,2266.14451420391
22,2359.80375783372,6.88276096034836,2359.80375783372
23,2100,8,2400
24,2200,8,1900
25,2196.31679504039,7.9866065274196,1996.6516318549
26,2191.33529739784,7.96849199053762,2091.72914751612
27,2187.14124393357,7.95324088703116,2187.14124393357
28,2185.25083990741,7.9463666905724,2284.58042353957
29,2180.75745774495,7.93002711907254,2379.00813572176
30,2300,8,1400
31,2296.06710563105,7.98632036741235,1497.43506888982
32,2294.41327274143,7.98056790518759,1596.11358103752
33,2290.63246581493,7.96741727239975,1693.07617038495
34,2286.32205123337,7.95242452602911,1789.29551835655
35,2277.11996730033,7.92041727756637,1881.09910342201
36,2274.0147678444,7.90961658380661,1977.40414595165
37,2270.68819523874,7.89804589648257,2073.23704782668
38,2266.40475247552,7.88314696513223,2167.86541541136
39,2260.41277745043,7.86230531287107,2260.41277745043
40,2258.0288137463,7.85401326520453,2356.20397956136
41,2400,8,1000
42,2394.94060783169,7.98313535943896,1097.68111192286
43,2388.7435212576,7.96247840419199,1194.3717606288
44,2383.35436813875,7.94451456046249,1290.98361607515
45,2379.60564210347,7.93201880701156,1388.10329122702
46,2371.79453511752,7.90598178372505,1482.37158444845
47,2367.33490566038,7.89111635220126,1578.22327044025
48,2367.91238059908,7.89304126866359,1677.27126959101
49,2358.06258689284,7.86020862297612,1768.54694016963
50,2351.9265048822,7.83975501627401,1861.94181636508
51,2345.49964532343,7.81833215107809,1954.58303776952
52,2343.87597268474,7.81291990894912,2050.89147609914
53,2340.99244234777,7.80330814115923,2145.90973881879
54,2334.42044228821,7.78140147429402,2237.15292385953
55,2329.56365462364,7.76521218207881,2329.56365462364
56,2000,9,2400
57,2100,9,1900
58,2100,9,2000
59,2093.40992157046,8.97175680673054,2093.40992157046
60,2092.26334277877,8.96684289762328,2191.89493053014
61,2088.89087083268,8.95238944642577,2287.83285853103
62,2082.57741052286,8.92533175938368,2380.08846916898
63,2200,9,1500
64,2193.40998269751,8.97304083830799,1595.20726014364
65,2188.44802908167,8.95274193715227,1691.07347701765
66,2188.25868713516,8.95196735646201,1790.3934712924
67,2182.58079946448,8.92873963417285,1884.95614499205
68,2175.90235926523,8.90141874244867,1978.09305387748
69,2175.43797550208,8.89951899069031,2076.55443116107
70,2170.67852781959,8.88004852289832,2170.67852781959
71,2163.64913155455,8.85129190181406,2261.99681935248
72,2161.01399165784,8.8405117840548,2357.46980908128
73,2300,9,1000
74,2294.74920010963,8.97945339173334,1097.48874787852
75,2290.88618819732,8.96433725816342,1195.24496775512
76,2281.26253890979,8.92667950008179,1289.40926112293
77,2283.81483302125,8.93666673790923,1390.14815923032
78,2276.11314094024,8.90652968194006,1484.42161365668
79,2272.47696826676,8.89230118017429,1580.8535431421
80,2265.50878138648,8.86503436194709,1674.50649059001
81,2260.63714860735,8.84597145107225,1769.19429021445
82,2255.25863262056,8.82492508416742,1863.0397399909
83,2254.11249035495,8.82044017964981,1960.09781769996
84,2244.50692477216,8.78285318389104,2049.33240957458
85,2241.05273028585,8.76933677068377,2143.61565505603
86,2236.39192554892,8.75109883910447,2236.39192554892
87,2232.35450774574,8.73530024770074,2329.41339938686
88,2400,9,700
89,2391.98796388776,8.96995486457908,797.329321295919
90,2382.90047446134,8.93587677923003,893.587677923003
91,2374.83068497579,8.90561506865921,989.512785406579
92,2372.32330963582,8.89621241113434,1087.31485024975
93,2366.03562992596,8.87263361222236,1183.01781496298
94,2359.85934019701,8.8494725257388,1278.25714260672
95,2358.16223634934,8.84310838631003,1375.59463787045
96,2345.96052820888,8.7973519807833,1466.22533013055
97,2344.89115012086,8.79334181295324,1563.26076674724
98,2338.10864330713,8.76790741240174,1656.16028900922
99,2334.42306971473,8.75408651143024,1750.81730228605
100,2325.91164074398,8.72216865278993,1841.34671558899
101,2319.26473968087,8.69724277380327,1932.72061640073
102,2317.36476474027,8.690117867776,2027.69416914773
103,2311.56209188107,8.66835784455402,2118.93191755765
104,2309.75754017075,8.66159077564031,2213.51764266363
105,2300.27952436084,8.62604821635314,2300.27952436084
106,2000,10,2000
107,1998.32390337659,9.99161951688296,2098.24009854542
108,1995.34908648312,9.97674543241561,2194.88399513143
109,1991.49766997145,9.95748834985725,2290.22232046717
110,1989.01417299038,9.94507086495189,2386.81700758845
111,2100,10,1500
112,2097.26294658911,9.98696641232908,1597.91462597265
113,2093.38317094712,9.9684912902244,1694.64351933815
114,2087.15274723567,9.93882260588414,1788.98806905915
115,2084.68153394208,9.92705492353373,1886.14043547141
