DMU,(O)Demand,(O)PctDemand s,(O)Risk
1,0.805078,0.931677,2.461427
2,0.808606,0.932581270333964,2.45972267895693
3,0.811569,0.931066845286174,2.458167
4,0.816472,0.935324,2.458778
5,0.817811,0.92582,2.458698
6,0.803483,0.924758,2.247521
7,0.802661,0.928024,2.278582
8,0.806561,0.932039,2.29136188296896
9,0.809231,0.934256113565607,2.29983730362284
10,0.8123,0.93712673256514,2.30984357114798
11,0.815653,0.940327560107118,2.32065251694255
12,0.819708,0.944064468902742,2.33202692752332
13,0.804006,0.931873,2.318618
14,0.807403,0.935365895197895,2.32916769496767
15,0.811153,0.939269652175588,2.34073246390605
16,0.814236,0.942403106116085,2.35036901279784
17,0.817769,0.946059516554443,2.36130093002119
18,0.820017,0.948198384829075,2.36856269241441
19,0.824267,0.952436684049812,2.38189322329824
20,0.82815,0.956252001479819,2.39416153761073
21,0.832572,0.960690624214641,2.40798663640524
22,0.835356,0.96269601807238,2.41424907365935
23,0.802383,0.929394,2.085539
24,0.802394,0.920733,2.123986
25,0.805711,0.927665,2.13384318091905
26,0.808792,0.930585643734363,2.14233672187986
27,0.812014,0.935531148747683,2.15156890342269
28,0.816078,0.941443307487235,2.16303017727998
29,0.819156,0.94621442547539,2.17187602679532
30,0.800069,0.922593,2.162449
31,0.803753,0.927721,2.17215999841024
32,0.808447,0.931251636563386,2.18324968162269
33,0.812267,0.935157923167588,2.19265723579824
34,0.815881,0.938828777076061,2.2015118964451
35,0.817719,0.940458876993091,2.20557962426056
36,0.821622,0.944487298721419,2.21595915912072
37,0.825264,0.948252697838024,2.22690668052182
38,0.828508,0.952088054276505,2.23656676716822
39,0.831033,0.956220567974816,2.24383369357679
40,0.834867,0.961854735471296,2.25463332978513
41,0.801158,0.943441,2.205496
42,0.804922,0.943848082495547,2.2150450268276
43,0.808278,0.943795537544924,2.22347508302664
44,0.811881,0.944050617071607,2.23258848577172
45,0.816022,0.944946330826593,2.24318437185076
46,0.818728,0.945252868616247,2.25006566654492
47,0.822525,0.949404097877359,2.26050027024371
48,0.827911,0.955213548304599,2.27455638414527
49,0.82955,0.956607772471986,2.27792510890531
50,0.832461,0.959472169383794,2.28479435795423
51,0.835242,0.962189346301585,2.29131277446408
52,0.839525,0.966679849666704,2.3034206502811
53,0.843278,0.970575916788239,2.31460585599567
54,0.845683,0.972922203495241,2.32208754254269
55,0.848686,0.97595851688429,2.33120693893418
56,0.800097,0.906877,1.954143
57,0.800075,0.925229,1.988894
58,0.805219,0.9421,1.989353
59,0.807478,0.939770612767134,1.99817427447917
60,0.811819,0.939882596278819,2.01213573427719
61,0.815286,0.938993314653624,2.02392402718102
62,0.817583,0.936779105583379,2.03279310001325
63,0.80325,0.931389,2.028084
64,0.806039,0.935174,2.03470575120818
65,0.809361,0.941047,2.042604434003
66,0.814542,0.941444745764445,2.06081832241988
67,0.817608,0.943997821064404,2.06995280697063
68,0.820242,0.950381928870001,2.07292913181044
69,0.824964,0.960223342451012,2.080618114905
70,0.827936,0.964309950979899,2.08861486780817
71,0.830003,0.965504969032677,2.09514391862049
72,0.833708,0.964946941015717,2.10743597176267
73,0.800444,0.94593,2.07247
74,0.803956,0.946258293529012,2.0792737560904
75,0.807933,0.947148972022233,2.08728917498709
76,0.809847,0.945643338742285,2.08998812535095
77,0.816067,0.949177288049875,2.10380657081328
78,0.818611,0.948443991016367,2.10815335549106
79,0.822517,0.951338018193848,2.11711737735427
80,0.825175,0.953282069819391,2.12313705757991
81,0.828544,0.956150277759116,2.13232629735395
82,0.831692,0.958813162340231,2.14156638206009
83,0.836386,0.963261136388343,2.15478406809604
84,0.837783,0.969781888543157,2.15291920448277
85,0.841211,0.974399692925138,2.16199826076073
86,0.844169,0.978470742938824,2.16986839734516
87,0.847344,0.98279082267242,2.17829527927214
88,0.804975,0.950841,2.098427
89,0.808511,0.954872597021724,2.11435509227693
90,0.811639,0.958423365007022,2.12916861373539
91,0.815069,0.962331774689009,2.14472697342056
92,0.819939,0.964811634457685,2.15888831822078
93,0.823281,0.964086094936967,2.16668388344873
94,0.826394,0.964021247119443,2.17239612059822
95,0.831058,0.965778002102954,2.18219379624317
96,0.831989,0.963218188798381,2.18220377705781
97,0.836783,0.96667751703388,2.19318801663891
98,0.839486,0.968689357191649,2.19921870895066
