DMU,peer1,peer2,peer3,peer4,peer5
1,1,NA,NA,NA,NA
2,1,4,NA,NA,NA
3,1,4,5,NA,NA
4,4,NA,NA,NA,NA
5,5,NA,NA,NA,NA
6,6,NA,NA,NA,NA
7,7,NA,NA,NA,NA
8,1,6,7,23,NA
9,1,6,7,NA,NA
10,1,6,7,NA,NA
11,1,6,7,NA,NA
12,1,4,6,NA,NA
13,13,NA,NA,NA,NA
14,1,7,13,NA,NA
15,1,7,13,NA,NA
16,1,7,13,NA,NA
17,1,7,13,NA,NA
18,1,6,7,NA,NA
19,1,6,7,NA,NA
20,1,6,7,NA,NA
21,1,6,7,NA,NA
22,1,4,6,NA,NA
23,23,NA,NA,NA,NA
24,24,NA,NA,NA,NA
25,7,23,24,58,NA
26,6,23,24,NA,NA
27,6,23,24,NA,NA
28,6,23,24,NA,NA
29,6,23,24,NA,NA
30,30,NA,NA,NA,NA
31,7,24,30,58,NA
32,7,24,30,NA,NA
33,7,24,30,NA,NA
34,7,24,30,NA,NA
35,7,24,30,NA,NA
36,6,7,24,NA,NA
37,6,7,24,NA,NA
38,6,23,24,NA,NA
39,6,23,24,NA,NA
40,6,23,24,NA,NA
41,41,NA,NA,NA,NA
42,13,30,41,NA,NA
43,13,30,41,NA,NA
44,13,30,41,NA,NA
45,13,30,41,NA,NA
46,7,13,30,NA,NA
47,7,13,30,NA,NA
48,7,24,30,NA,NA
49,7,24,30,NA,NA
50,7,24,30,NA,NA
51,7,24,30,NA,NA
52,6,7,24,NA,NA
53,6,7,24,NA,NA
54,6,7,24,NA,NA
55,6,7,24,NA,NA
56,56,NA,NA,NA,NA
57,57,NA,NA,NA,NA
58,58,NA,NA,NA,NA
59,23,56,58,NA,NA
60,23,56,58,NA,NA
61,23,56,58,NA,NA
62,23,56,58,NA,NA
63,63,NA,NA,NA,NA
64,24,57,58,63,NA
65,24,30,58,63,NA
66,24,57,63,NA,NA
67,24,57,63,NA,NA
68,24,57,58,NA,NA
69,23,24,58,NA,NA
70,23,24,58,NA,NA
71,23,56,58,NA,NA
72,23,56,58,NA,NA
73,73,NA,NA,NA,NA
74,30,63,73,NA,NA
75,30,63,73,NA,NA
76,30,63,73,NA,NA
77,30,63,73,NA,NA
78,30,63,73,NA,NA
79,24,30,63,NA,NA
80,24,30,63,NA,NA
81,24,57,63,NA,NA
82,24,57,63,NA,NA
83,24,57,63,NA,NA
84,23,24,58,NA,NA
85,23,24,58,NA,NA
86,23,24,58,NA,NA
87,23,24,58,NA,NA
88,73,88,NA,NA,NA
89,41,73,88,NA,NA
90,41,73,88,NA,NA
91,41,73,88,NA,NA
92,30,41,73,NA,NA
93,30,73,NA,NA,NA
94,30,63,73,NA,NA
95,30,63,73,NA,NA
96,30,63,73,NA,NA
97,24,30,63,NA,NA
98,24,30,63,NA,NA
99,24,30,63,NA,NA
100,24,30,63,NA,NA
101,24,57,63,NA,NA
102,24,57,58,NA,NA
103,23,24,58,NA,NA
104,23,24,58,NA,NA
105,23,24,58,NA,NA
106,106,NA,NA,NA,NA
107,56,58,106,175,NA
108,56,58,106,175,NA
109,56,106,175,NA,NA
110,56,175,263,NA,NA
111,111,NA,NA,NA,NA
112,58,111,121,179,NA
113,58,106,111,175,NA
114,58,106,111,NA,NA
115,58,106,111,NA,NA
116,58,106,111,NA,NA
117,56,58,106,NA,NA
118,56,58,106,NA,NA
119,56,106,NA,NA,NA
120,56,106,175,NA,NA
121,121,NA,NA,NA,NA
122,73,111,188,NA,NA
123,73,111,188,NA,NA
124,73,111,188,NA,NA
125,63,73,111,NA,NA
126,57,58,63,111,NA
127,57,63,111,NA,NA
128,57,58,111,NA,NA
129,58,106,111,NA,NA
130,58,106,111,NA,NA
131,58,106,111,NA,NA
132,56,58,106,NA,NA
133,56,58,106,NA,NA
134,56,58,106,NA,NA
135,73,153,301,NA,NA
136,73,153,301,NA,NA
137,73,188,301,NA,NA
138,73,188,301,NA,NA
139,73,188,301,NA,NA
140,73,111,188,NA,NA
141,73,111,188,NA,NA
142,63,73,111,NA,NA
143,63,73,111,NA,NA
144,57,63,111,NA,NA
145,57,63,111,NA,NA
146,57,63,111,NA,NA
147,57,63,111,NA,NA
148,57,63,111,NA,NA
149,57,58,111,NA,NA
150,58,106,NA,NA,NA
151,56,58,106,NA,NA
152,23,56,58,NA,NA
153,153,NA,NA,NA,NA
154,154,NA,NA,NA,NA
155,155,NA,NA,NA,NA
156,73,153,301,NA,NA
157,73,153,301,NA,NA
158,73,153,301,NA,NA
159,73,153,301,NA,NA
160,73,188,301,NA,NA
161,73,188,301,NA,NA
162,73,111,188,NA,NA
163,63,73,111,NA,NA
164,63,73,111,NA,NA
165,63,73,111,NA,NA
166,63,73,111,NA,NA
167,57,63,111,NA,NA
168,57,63,111,NA,NA
169,24,57,63,NA,NA
170,24,57,63,NA,NA
171,24,57,63,NA,NA
172,24,57,58,NA,NA
173,23,24,58,NA,NA
174,23,58,NA,NA,NA
175,57,58,175,263,371
176,56,175,263,NA,NA
177,56,175,263,NA,NA
178,56,264,370,NA,NA
179,179,NA,NA,NA,NA
180,106,175,179,NA,NA
181,106,175,179,NA,NA
182,106,175,179,NA,NA
183,106,175,179,NA,NA
184,106,175,179,NA,NA
185,56,106,175,NA,NA
186,56,175,263,NA,NA
187,56,175,263,NA,NA
188,188,NA,NA,NA,NA
189,111,179,188,NA,NA
190,111,179,188,NA,NA
191,111,179,188,NA,NA
192,111,179,188,NA,NA
193,106,111,179,NA,NA
194,106,111,179,NA,NA
195,106,179,NA,NA,NA
196,106,175,179,NA,NA
