DMU,V1
1,69.5
2,139
3,153
4,69.5
5,69.5
6,69.5
7,69.5
8,159
9,223
10,279
11,331
12,348
13,69.5
14,188
15,240
16,317
17,371
18,460
19,473
20,505
21,517
22,564
23,69.5
24,69.5
25,172
26,227
27,280
28,308
29,363
30,69.5
31,173
32,189
33,234
34,285
35,396
36,435
37,459
38,514
39,581
40,609
41,69.5
42,181
43,251
44,314
45,354
46,441
47,482
48,474
49,592
50,655
51,714
52,730
53,762
54,830
55,875
56,69.5
57,69.5
58,69.5
59,207
60,222
61,265
62,349
63,69.5
64,204
65,262
66,267
67,341
68,420
69,430
70,471
71,557
72,597
73,69.5
74,185
75,230
76,345
77,316
78,405
79,443
80,520
81,575
82,638
83,651
84,752
85,789
86,839
87,877
88,69.5
89,214
90,319
91,407
92,438
93,500
94,562
95,590
96,706
97,718
98,791
99,829
100,903
101,973
102,992
103,1048
104,1063
105,1145
106,69.5
107,158
108,187
109,237
110,274
111,69.5
112,167
113,208
114,290
115,324
116,381
117,446
118,487
119,600
120,594
121,69.5
122,179
123,269
124,337
125,392
126,417
127,464
128,611
129,576
130,653
131,723
132,783
133,850
134,868
135,69.5
136,215
137,306
138,352
139,424
140,502
141,553
142,608
143,708
144,707
145,780
146,853
147,899
148,926
149,1004
150,1052
151,1106
152,1128
153,69.5
154,69.5
155,69.5
156,346
157,418
158,490
159,593
160,664
161,704
162,761
163,864
164,908
165,925
166,998
167,1060
168,1099
169,1148
170,1222
171,1258
172,1305
173,1350
174,1381
175,69.5
176,177
177,184
178,218
179,69.5
180,162
181,231
182,259
183,327
184,394
185,429
186,491
187,530
188,69.5
189,233
190,318
191,379
192,425
193,470
194,527
195,583
196,665
197,670
198,740
199,805
200,838
201,69.5
202,210
203,275
204,375
205,445
206,509
207,607
208,666
209,697
210,747
211,834
212,858
213,931
214,981
215,1026
216,1081
217,1098
218,163
219,246
220,366
221,376
222,476
223,519
224,572
225,621
226,746
227,798
228,861
229,930
230,1012
231,1040
232,1116
233,1183
234,1227
235,1237
236,1304
237,1337
238,1394
239,69.5
240,69.5
241,326
242,465
243,537
244,632
245,692
246,764
247,835
248,888
249,969
250,1041
251,1080
252,1127
253,1190
254,1238
255,1313
256,1361
257,1423
258,1462
259,1516
260,1564
261,1583
262,1620
263,69.5
264,69.5
265,69.5
266,176
267,232
268,310
269,369
270,439
271,485
272,511
273,150
274,166
275,268
276,365
277,431
278,457
279,536
280,617
281,649
282,720
283,726
284,793
285,206
286,263
287,278
288,378
289,467
290,526
291,584
292,667
293,748
294,767
295,844
296,896
297,954
298,990
299,1033
300,1101
301,69.5
302,217
303,281
304,357
305,383
306,501
307,550
308,603
309,694
310,801
311,816
312,880
313,958
314,1010
315,1075
316,1146
317,1162
318,1201
319,1260
320,1343
321,1362
322,69.5
323,254
324,350
325,411
326,529
327,565
328,668
329,727
330,776
331,869
332,950
333,987
334,1071
335,1150
336,1177
337,1248
338,1272
339,1348
340,1405
341,1415
342,1489
343,1512
344,1587
345,1631
346,69.5
347,522
348,672
349,715
350,825
351,883
352,951
353,1031
354,1056
355,1149
356,1194
357,1264
358,1332
359,1375
360,1416
361,1484
362,1536
363,1596
364,1624
365,1694
366,1722
367,1760
368,1794
369,1839
370,69.5
371,69.5
372,194
373,245
374,283
375,355
376,393
377,449
378,69.5
379,182
380,330
381,367
382,432
383,518
384,568
385,633
386,679
387,743
388,790
389,175
390,212
391,325
392,377
393,426
394,578
395,591
396,677
397,741
398,794
399,865
400,914
401,964
402,1017
403,1073
404,69.5
405,260
406,336
407,406
408,479
409,560
410,646
411,702
412,779
413,824
414,915
415,982
416,1022
417,1072
418,1168
419,1198
420,1243
421,1293
422,1354
423,69.5
424,203
425,291
426,362
427,458
428,531
429,582
430,648
431,742
432,837
433,871
434,946
435,1002
436,1062
437,1139
438,1193
439,1251
440,1327
441,1344
442,1409
443,1454
444,1478
445,1534
446,1606
447,69.5
448,538
449,636
450,713
451,769
452,848
453,932
454,994
455,1049
456,1120
457,1167
458,1218
459,1280
460,1380
461,1435
462,1444
463,1504
464,1552
465,1618
466,1665
467,1687
468,1735
469,1778
470,1824
471,69.5
472,813
473,924
474,1021
475,1091
476,1164
477,1231
478,1274
479,1320
480,1372
481,1453
482,1503
483,1544
484,1604
485,1652
486,1701
487,1765
488,1780
489,1848
490,1899
491,1928
492,1962
493,2012
494,2030
495,202
496,249
497,298
498,360
499,389
500,200
501,247
502,343
503,444
504,503
505,523
506,625
507,674
508,684
509,69.5
510,229
511,252
512,402
513,421
514,533
515,634
516,693
517,754
518,827
519,906
520,922
521,968
522,1030
523,69.5
524,238
525,302
526,390
527,469
528,569
529,596
530,678
531,772
532,867
533,955
534,977
