DMU,V1
1,1
2,4
3,5
4,6
5,7
6,13
7,23
8,24
9,30
10,41
11,56
12,57
13,58
14,63
15,73
16,88
17,106
18,111
19,121
20,135
21,153
22,154
23,155
24,175
25,179
26,188
27,201
28,239
29,240
30,263
31,264
32,265
33,301
34,322
35,346
36,370
37,371
38,378
39,404
40,423
41,447
42,471
43,509
44,523
45,563
46,587
47,611
48,635
49,636
50,659
51,676
52,697
53,721
54,745
55,769
56,793
57,800
58,845
59,846
60,869
61,893
62,917
63,941
64,969
65,991
66,1009
67,1031
68,1079
69,1103
70,1127
71,1153
72,1171
73,1187
74,1207
75,1255
76,1279
77,1303
78,1327
79,1351
80,1356
81,1398
82,1399
83,1421
84,1445
85,1493
86,1517
87,1541
88,1565
89,1587
90,1604
91,1673
92,1721
93,1745
94,1793
95,1799
96,1842
97,1865
98,1913
99,1985
100,2009
101,2033
102,2036
103,2044
104,2045
105,2095
106,2119
107,2143
108,2167
109,2191
110,2263
111,2287
112,2288
113,2294
114,2319
115,2338
116,2361
117,2409
118,2457
119,2481
120,2505
121,2529
122,2553
123,2554
124,2555
125,2556
126,2557
127,2564
128,2577
129,2578
130,2594
131,2615
132,2639
133,2663
134,2711
135,2735
136,2759
137,2783
138,2807
139,2
140,1055
141,1961
142,2304
143,1823
144,2215
145,811
146,2239
147,1366
148,1769
149,1889
150,273
151,2433
152,1231
153,3
154,2385
155,639
156,1649
157,2057
158,107
159,8
160,1697
161,1469
162,180
163,218
164,2074
165,1937
166,274
167,112
168,965
169,826
170,1151
171,1625
172,25
173,31
174,541
175,389
176,266
177,176
178,1575
179,122
180,2687
181,42
182,379
183,1160
184,177
185,74
186,978
187,108
188,14
189,32
190,1568
191,1809
192,1794
193,677
194,372
195,801
196,1380
197,992
198,647
199,1154
200,500
201,794
202,495
203,424
204,64
205,1352
206,285
207,59
208,113
209,1588
210,202
211,1161
212,390
213,660
214,89
215,136
216,1010
217,302
218,178
219,1152
220,542
221,2320
222,60
223,9
224,1843
225,2305
226,2565
227,26
228,812
229,510
230,75
231,181
232,267
233,189
234,33
235,979
236,1172
237,109
238,524
239,1824
240,15
241,2075
242,1566
243,2339
244,2289
245,373
246,219
247,501
248,2058
249,496
250,1605
251,43
252,511
253,1357
254,323
255,2037
256,640
257,970
258,637
259,182
260,405
261,2595
262,65
263,286
264,1367
265,61
266,2034
267,66
268,275
269,123
270,1358
271,2306
272,1800
273,966
274,110
275,203
276,1188
277,1576
278,287
279,10
280,27
281,303
282,1577
283,374
284,993
285,34
286,1155
287,2616
288,1569
289,1802
290,114
291,425
292,827
293,2295
294,1208
295,795
296,638
297,1381
298,497
299,1570
300,1589
301,813
302,525
303,1810
304,1801
305,641
306,137
307,661
308,28
309,648
310,268
311,2059
312,1400
313,2566
314,44
315,2046
316,77
317,16
318,190
319,90
320,1795
321,967
322,1567
323,678
324,115
325,391
326,241
327,183
328,802
329,698
330,380
331,11
332,847
333,543
334,1173
335,2559
336,406
337,124
338,2292
339,1011
340,1626
341,67
342,1353
343,502
344,1825
345,76
346,156
347,971
348,12
349,62
350,324
351,980
352,138
353,2290
354,45
355,375
356,2038
357,304
358,2558
359,828
360,498
361,2340
362,426
363,29
364,649
365,276
366,220
367,381
368,2076
369,269
370,1606
371,17
372,1844
373,2596
374,1796
375,204
376,221
377,392
378,288
379,191
380,1368
381,116
382,662
383,305
384,796
385,2096
386,1209
387,1401
388,2579
389,499
390,526
391,2321
392,125
393,376
394,184
395,642
396,35
397,972
398,564
399,2296
400,1189
401,968
402,512
403,803
404,2035
405,78
406,407
407,91
408,544
409,848
410,1359
411,325
412,1382
413,1590
414,1354
415,1811
416,1162
417,126
418,157
419,814
420,68
421,513
422,1174
423,1012
424,139
425,192
426,393
427,2291
428,1156
429,185
430,69
431,277
432,382
433,679
434,1032
435,36
436,994
437,797
438,92
439,270
440,1607
441,46
442,699
443,79
444,503
445,205
446,117
447,1627
448,650
449,377
450,1578
451,829
452,1190
453,2567
454,1369
455,2047
456,2060
457,278
458,427
459,37
460,18
461,995
462,804
463,1826
464,127
465,242
466,700
467,289
468,1210
469,527
470,193
471,70
472,2039
473,19
474,48
475,981
476,222
477,680
478,1383
479,408
480,1163
481,1845
482,47
483,1157
484,849
485,271
486,1013
487,118
488,2077
489,2097
490,158
491,186
492,1591
493,1355
494,663
495,798
496,2307
497,1402
498,1571
499,545
500,93
501,306
502,140
503,504
504,815
505,20
506,1797
507,643
508,2617
509,206
510,973
511,272
512,2580
513,1360
514,38
515,2341
516,1803
517,21
518,383
519,223
520,80
521,1175
522,347
523,505
524,982
525,2297
526,290
527,194
528,651
529,326
530,187
531,428
532,1033
533,514
534,2597
535,2040
536,279
537,243
538,448
539,830
540,664
541,2308
542,1608
543,2568
544,1191
545,2048
546,565
547,1164
548,799
549,850
550,307
551,1628
552,2061
553,141
554,1176
555,974
556,1211
557,71
558,1422
559,1158
560,409
561,1384
562,94
563,1370
564,22
565,327
566,1579
567,1827
568,384
569,528
570,1812
571,2078
572,224
573,681
574,1572
575,81
576,129
577,701
578,394
579,644
580,2322
581,39
582,429
583,195
584,291
585,665
586,546
587,566
588,1361
589,996
590,95
591,395
592,49
593,159
594,120
595,2560
596,529
597,72
598,652
599,805
600,119
601,2309
602,1014
603,308
604,870
605,1846
606,816
607,207
608,142
609,40
610,2362
611,128
612,2049
613,645
614,1798
615,1866
616,2298
617,280
618,1403
619,2342
620,682
621,225
622,1592
623,2323
624,1813
625,506
626,831
627,646
628,2293
629,817
630,1159
631,2098
632,244
633,385
634,515
635,653
636,449
637,983
638,82
639,1423
640,1192
641,1034
642,975
643,702
644,2598
645,1609
646,410
647,1165
648,430
649,281
650,1573
651,83
652,2618
653,130
654,547
655,50
656,2041
657,1804
658,1371
659,1580
660,1629
661,2581
662,997
663,851
664,160
665,196
666,208
667,292
668,328
669,806
670,197
671,1847
672,348
673,871
674,507
675,2561
676,1828
677,396
678,530
679,386
680,2099
681,2299
682,1212
683,567
684,508
685,1385
686,1593
687,2569
688,832
689,1867
690,1177
691,1015
692,245
693,516
694,309
695,2062
696,1362
697,209
698,1814
699,2079
700,722
701,2324
702,411
703,1363
704,161
705,2050
706,96
707,144
708,143
709,984
710,666
711,1404
712,1574
713,450
714,51
715,349
716,1035
717,2343
718,97
719,998
720,282
721,2570
722,1232
723,131
724,1166
725,1581
726,283
727,329
728,818
729,703
730,52
731,852
732,2363
733,2042
734,976
735,1372
736,1424
737,683
738,1805
739,1193
740,198
741,397
742,431
743,387
744,1630
745,872
746,226
747,210
748,293
749,2562
750,2619
751,2582
752,84
753,1213
754,517
755,568
756,1016
757,548
758,2599
759,1386
760,654
761,162
762,53
763,833
764,246
765,1610
766,807
767,294
768,1829
769,451
770,1848
771,1650
772,531
773,2063
774,2051
775,2300
776,330
777,2310
778,549
779,412
780,145
781,1194
782,1178
783,132
784,723
785,977
786,667
787,1373
788,1036
789,85
790,388
791,98
792,808
793,284
794,398
795,1233
796,985
797,1815
798,227
799,1594
800,684
801,310
802,1425
803,2100
804,655
805,199
806,2080
807,1364
808,819
809,1611
810,1405
811,873
812,1167
813,472
814,588
815,2344
816,311
817,1806
818,1017
819,1868
820,2043
821,853
822,2583
823,2120
824,413
825,350
826,1582
827,518
828,704
829,99
830,54
831,2364
832,2563
833,999
834,211
835,247
836,1365
837,432
838,200
839,86
840,1179
841,1214
842,724
843,569
844,295
845,1830
846,1651
847,2325
848,452
849,2620
850,133
851,589
852,1387
853,146
854,2311
855,1849
856,2301
857,2640
858,212
859,1631
860,2064
861,228
862,1056
863,2571
864,163
865,399
866,668
867,532
868,134
869,331
870,1406
871,433
872,705
873,656
874,834
875,55
876,809
877,87
878,685
879,1168
880,312
881,1869
882,2600
883,351
884,810
885,986
886,2081
887,1234
888,248
889,1374
890,1807
891,1595
892,1583
893,2584
894,1816
895,550
896,296
897,820
898,1195
899,147
900,657
901,1180
902,854
903,100
904,1612
905,1215
906,519
907,2121
908,164
909,725
910,1000
911,874
912,669
913,2052
914,400
915,414
916,686
917,1632
918,551
919,1018
920,1037
921,1388
922,520
923,1596
924,473
925,165
926,148
927,1584
928,2572
929,1407
930,229
931,213
932,453
933,2345
934,570
935,1426
936,1235
937,1446
938,1831
939,835
940,1808
941,1817
942,1038
943,2101
944,2326
945,2641
946,434
947,1057
948,2601
949,894
950,332
951,352
952,2312
953,2065
954,297
955,533
956,1196
957,1652
958,313
959,670
960,1375
961,1427
962,1850
963,987
964,401
965,1613
966,2365
967,2053
968,521
969,249
970,1890
971,1169
972,706
973,101
974,2621
975,2082
976,821
977,534
978,590
979,875
980,1170
981,214
982,415
983,658
984,855
985,746
986,895
987,333
988,1181
989,1236
990,298
991,2122
992,102
993,571
994,454
995,1389
996,1019
997,836
998,166
999,552
1000,1447
1001,2302
1002,435
1003,591
1004,149
1005,1870
1006,1058
1007,2327
1008,988
1009,1001
1010,314
1011,726
1012,230
1013,2585
1014,2102
1015,2386
1016,856
1017,402
1018,1832
1019,1216
1020,2313
1021,474
1022,416
1023,1002
1024,1039
1025,2066
1026,215
1027,2573
1028,2366
1029,2346
1030,522
1031,353
1032,687
1033,299
1034,1197
1035,1585
1036,1633
1037,2622
1038,2303
1039,1376
1040,231
1041,250
1042,822
1043,1408
1044,1653
1045,1851
1046,1597
1047,707
1048,103
1049,455
1050,1182
1051,1059
1052,150
1053,727
1054,2642
1055,572
1056,354
1057,535
1058,671
1059,876
1060,167
1061,1818
1062,436
1063,104
1064,2054
1065,2083
1066,1891
1067,1428
1068,837
1069,2602
1070,1256
1071,334
1072,417
1073,403
1074,1614
1075,315
1076,553
1077,1833
1078,2586
1079,688
1080,251
1081,216
1082,1237
1083,1217
1084,989
1085,1598
1086,1020
1087,2314
1088,1586
1089,1871
1090,1634
1091,475
1092,747
1093,1390
1094,2574
1095,1409
1096,2328
1097,592
1098,217
1099,168
1100,1377
1101,300
1102,573
1103,857
1104,2123
1105,1448
1106,151
1107,2103
1108,708
1109,1819
1110,2067
1111,1198
1112,1040
1113,612
1114,896
1115,536
1116,232
1117,672
1118,2347
1119,877
1120,456
1121,1654
1122,2055
1123,728
1124,1218
1125,1257
1126,990
1127,252
1128,152
1129,689
1130,2387
1131,1003
1132,1674
1133,1378
1134,2643
1135,1852
1136,1391
1137,2367
1138,897
1139,437
1140,593
1141,1199
1142,748
1143,823
1144,554
1145,105
1146,316
1147,1615
1148,169
1149,355
1150,335
1151,2329
1152,1429
1153,838
1154,2623
1155,2603
1156,613
1157,1183
1158,1041
1159,673
1160,1449
1161,2084
1162,317
1163,1872
1164,476
1165,594
1166,2587
1167,457
1168,418
1169,1834
1170,1892
1171,1635
1172,858
1173,1080
1174,2575
1175,709
1176,1021
1177,336
1178,574
1179,2104
1180,1238
1181,537
1182,729
1183,233
1184,1060
1185,1410
1186,1820
1187,2124
1188,2348
1189,2068
1190,253
1191,2315
1192,1599
1193,438
1194,356
1195,2056
1196,1004
1197,1675
1198,419
1199,1392
1200,690
1201,318
1202,878
1203,825
1204,824
1205,1430
1206,1655
1207,2144
1208,839
1209,674
1210,1835
1211,1853
1212,1616
1213,1219
1214,1061
1215,1258
1216,2624
1217,538
1218,458
1219,918
1220,1022
1221,555
1222,170
1223,2085
1224,2330
1225,1873
1226,2604
1227,234
1228,2388
1229,2664
1230,1821
1231,477
1232,749
1233,2588
1234,1239
1235,614
1236,1081
1237,235
1238,254
1239,898
1240,575
1241,710
1242,1200
1243,420
1244,1600
1245,730
1246,1184
1247,2368
1248,337
1249,1411
1250,2069
1251,439
1252,859
1253,1893
1254,1636
1255,1042
1256,1450
1257,2316
1258,171
1259,2125
1260,319
1261,1854
1262,1379
1263,2105
1264,357
1265,1005
1266,899
1267,879
1268,539
1269,2644
1270,2086
1271,1656
1272,338
1273,675
1274,478
1275,2576
1276,840
1277,691
1278,1470
1279,1617
1280,459
1281,595
1282,556
1283,1601
1284,1185
1285,1220
1286,711
1287,1676
1288,1023
1289,2349
1290,860
1291,1259
1292,1201
1293,421
1294,2589
1295,576
1296,919
1297,2605
1298,1393
1299,1874
1300,615
1301,2145
1302,1240
1303,2389
1304,236
1305,172
1306,1043
1307,2070
1308,2369
1309,1637
1310,1431
1311,1894
1312,1006
1313,255
1314,1062
1315,880
1316,1836
1317,540
1318,750
1319,2317
1320,479
1321,1822
1322,770
1323,1063
1324,1082
1325,731
1326,2645
1327,440
1328,1412
1329,1186
1330,1451
1331,557
1332,358
1333,1024
1334,841
1335,900
1336,2331
1337,237
1338,751
1339,1471
1340,2625
1341,2665
1342,692
1343,320
1344,441
1345,1394
1346,1855
1347,712
1348,339
1349,1432
1350,173
1351,2106
1352,596
1353,2590
1354,422
1355,1657
1356,2350
1357,1260
1358,1638
1359,1618
1360,1221
1361,256
1362,321
1363,1914
1364,2126
1365,1677
1366,2087
1367,881
1368,771
1369,1241
1370,2606
1371,577
1372,480
1373,1602
1374,1083
1375,359
1376,1837
1377,597
1378,558
1379,861
1380,460
1381,174
1382,1044
1383,616
1384,2071
1385,2318
1386,1413
1387,1452
1388,920
1389,1025
1390,2332
1391,2370
1392,1007
1393,1202
1394,238
1395,1875
1396,2390
1397,862
1398,732
1399,1280
1400,1603
1401,693
1402,842
1403,1619
1404,2146
1405,340
1406,1856
1407,2410
1408,1064
1409,442
1410,2107
1411,1895
1412,1395
1413,2626
1414,1472
1415,341
1416,360
1417,1658
1418,1678
1419,1433
1420,1838
1421,2646
1422,578
1423,257
1424,1915
1425,752
1426,1222
1427,1281
1428,2351
1429,1261
1430,559
1431,2088
1432,2333
1433,921
1434,2127
1435,461
1436,901
1437,2607
1438,2666
1439,1876
1440,1414
1441,2072
1442,617
1443,2591
1444,462
1445,882
1446,2147
1447,598
1448,1045
1449,713
1450,1008
1451,1104
1452,772
1453,481
1454,443
1455,1242
1456,843
1457,1084
1458,1453
1459,1698
1460,1203
1461,694
1462,258
1463,1639
1464,2108
1465,733
1466,902
1467,2391
1468,1896
1469,1262
1470,1434
1471,1396
1472,1065
1473,1659
1474,1026
1475,753
1476,1223
1477,560
1478,444
1479,579
1480,1857
1481,695
1482,863
1483,2371
1484,361
1485,1620
1486,773
1487,1473
1488,1085
1489,342
1490,618
1491,714
1492,2352
1493,2647
1494,1415
1495,599
1496,844
1497,2089
1498,734
1499,922
1500,1916
1501,2667
1502,2128
1503,482
1504,463
1505,2411
1506,1454
1507,580
1508,1839
1509,1204
1510,2627
1511,2608
1512,343
1513,2168
1514,1046
1515,2334
1516,259
1517,1243
1518,1679
1519,942
1520,2073
1521,2372
1522,1877
1523,1282
1524,561
1525,1640
1526,1621
1527,1397
1528,1699
1529,619
1530,2592
1531,1474
1532,1105
1533,1066
1534,445
1535,883
1536,362
1537,696
1538,2109
1539,864
1540,1897
1541,1047
1542,715
1543,1660
1544,483
1545,1840
1546,1224
1547,2148
1548,2392
1549,2628
1550,903
1551,1858
1552,464
1553,735
1554,2353
1555,2090
1556,1917
1557,1263
1558,1435
1559,754
1560,2688
1561,1027
1562,1455
1563,1205
1564,260
1565,2412
1566,2609
1567,774
1568,1244
1569,923
1570,2129
1571,1878
1572,1680
1573,1494
1574,1416
1575,2335
1576,600
1577,884
1578,2648
1579,1067
1580,755
1581,562
1582,1086
1583,261
1584,943
1585,2668
1586,581
1587,344
1588,2593
1589,1641
1590,716
1591,2149
1592,904
1593,865
1594,1898
1595,1700
1596,363
1597,620
1598,1225
1599,2110
1600,1436
1601,1475
1602,2373
1603,1283
1604,484
1605,1622
1606,446
1607,1841
1608,1028
1609,1859
1610,1264
1611,1106
1612,1661
1613,2354
1614,2169
1615,1107
1616,1417
1617,601
1618,465
1619,582
1620,262
1621,1495
1622,775
1623,924
1624,364
1625,2629
1626,1642
1627,885
1628,2130
1629,2669
1630,736
1631,345
1632,1048
1633,2091
1634,2393
1635,1087
1636,1206
1637,756
1638,1681
1639,2610
1640,1245
1641,1938
1642,2413
1643,1456
1644,2336
1645,1068
1646,1226
1647,717
1648,1284
1649,2649
1650,1879
1651,1701
1652,485
1653,621
1654,2150
1655,1049
1656,1623
1657,2355
1658,1662
1659,602
1660,718
1661,1918
1662,2111
1663,2630
1664,866
1665,466
1666,905
1667,1437
1668,2689
1669,1476
1670,1265
1671,944
1672,1899
1673,1880
1674,1029
1675,2374
1676,1860
1677,1304
1678,2170
1679,925
1680,583
1681,1246
1682,776
1683,886
1684,1418
1685,2092
1686,622
1687,467
1688,737
1689,1088
1690,1285
1691,2131
1692,945
1693,1496
1694,365
1695,2611
1696,757
1697,1643
1698,1030
1699,1919
1700,1457
1701,486
1702,1682
1703,906
1704,584
1705,1069
1706,867
1707,2394
1708,1624
1709,2337
1710,1722
1711,2375
1712,2112
1713,2650
1714,1108
1715,2356
1716,1861
1717,2631
1718,1939
1719,1128
1720,2670
1721,1477
1722,366
1723,1663
1724,1702
1725,2690
1726,2414
1727,2151
1728,603
1729,2434
1730,2093
1731,1438
1732,1266
1733,1089
1734,868
1735,468
1736,777
1737,1305
1738,1458
1739,887
1740,926
1741,1900
1742,738
1743,1644
1744,1050
1745,604
1746,1227
1747,1920
1748,585
1749,623
1750,1247
1751,2612
1752,719
1753,1419
1754,1497
1755,946
1756,2094
1757,1286
1758,2132
1759,758
1760,367
1761,2651
1762,1070
1763,1881
1764,2171
1765,487
1766,2395
1767,720
1768,1109
1769,1478
1770,1683
1771,1862
1772,1051
1773,907
1774,1267
1775,2415
1776,1664
1777,2152
1778,469
1779,2376
1780,488
1781,1228
1782,2113
1783,1940
1784,888
1785,1439
1786,2435
1787,2632
1788,1306
1789,2357
1790,1129
1791,1248
1792,1703
1793,778
1794,368
1795,624
1796,1071
1797,2172
1798,739
1799,1420
1800,927
1801,2671
1802,2691
1803,586
1804,1090
1805,1459
1806,1901
1807,1723
1808,1882
1809,1684
1810,1498
1811,1645
1812,759
1813,2192
1814,2613
1815,605
1816,2133
1817,1287
1818,908
1819,1863
1820,2377
1821,947
1822,2396
1823,1268
1824,470
1825,740
1826,1921
1827,1307
1828,1091
1829,1941
1830,1440
1831,1110
1832,779
1833,2652
1834,1229
1835,1665
1836,1052
1837,1130
1838,1479
1839,369
1840,625
1841,2153
1842,2358
1843,2633
1844,1902
1845,1704
1846,1518
1847,2436
1848,489
1849,2114
1850,2692
1851,2712
1852,1646
1853,889
1854,1883
1855,928
1856,1288
1857,760
1858,1072
1859,1460
1860,2173
1861,1249
1862,2416
1863,2672
1864,1864
1865,1922
1866,2397
1867,606
1868,780
1869,1499
1870,909
1871,948
1872,2614
1873,1441
1874,1685
1875,1666
1876,741
1877,1724
1878,929
1879,2134
1880,626
1881,1308
1882,1269
1883,2193
1884,1092
1885,1111
1886,1480
1887,1053
1888,1903
1889,2154
1890,2653
1891,2115
1892,1942
1893,2378
1894,890
1895,1962
1896,1519
1897,1131
1898,1705
1899,490
1900,910
1901,1230
1902,2417
1903,761
1904,1289
1905,607
1906,2673
1907,1112
1908,1647
1909,2174
1910,1328
1911,2634
1912,1461
1913,2437
1914,1686
1915,1500
1916,2359
1917,1923
1918,2398
1919,1073
1920,1250
1921,742
1922,2135
1923,930
1924,949
1925,2713
1926,1884
1927,608
1928,491
1929,1725
1930,891
1931,627
1932,2155
1933,2693
1934,1132
1935,1054
1936,2194
1937,1481
1938,2116
1939,1667
1940,1093
1941,1904
1942,1943
1943,2635
1944,1270
1945,2360
1946,781
1947,1462
1948,2654
1949,1309
1950,1706
1951,1520
1952,2418
1953,743
1954,1329
1955,2379
1956,892
1957,1648
1958,1442
1959,1290
1960,911
1961,1963
1962,492
1963,1074
1964,950
1965,762
1966,1251
1967,782
1968,1885
1969,1668
1970,1687
1971,609
1972,1271
1973,2438
1974,2136
1975,1113
1976,2380
1977,1501
1978,1726
1979,2175
1980,2655
1981,2674
1982,1924
1983,2399
1984,628
1985,2458
1986,2117
1987,931
1988,1133
1989,1443
1990,1094
1991,2419
1992,1482
1993,1707
1994,951
1995,1944
1996,1746
1997,2694
1998,1905
1999,763
2000,1075
2001,2714
2002,1330
2003,1291
2004,912
2005,1310
2006,2636
2007,2156
2008,1252
2009,2195
2010,1502
2011,2176
2012,493
2013,1463
2014,744
2015,1886
2016,1964
2017,1272
2018,610
2019,1688
2020,2400
2021,1521
2022,1095
2023,1114
2024,932
2025,2439
2026,2675
2027,629
2028,1925
2029,2137
2030,494
2031,783
2032,2118
2033,1311
2034,1483
2035,1708
2036,2656
2037,2196
2038,1945
2039,1727
2040,1076
2041,764
2042,1747
2043,1522
2044,1444
2045,913
2046,2381
2047,1292
2048,1253
2049,1464
2050,1134
2051,2157
2052,1331
2053,1906
2054,2459
2055,2637
2056,1669
2057,1115
2058,2695
2059,2420
2060,1503
2061,784
2062,1689
2063,1887
2064,1273
2065,1926
2066,1542
2067,2138
2068,2216
2069,630
2070,952
2071,1965
2072,2715
2073,2676
2074,1096
2075,1728
2076,2440
2077,2401
2078,765
2079,933
2080,2177
2081,2382
2082,1312
2083,1670
2084,1946
2085,1907
2086,1135
2087,2197
2088,953
2089,2421
2090,1484
2091,1748
2092,631
2093,1254
2094,1709
2095,2460
2096,2657
2097,1077
2098,1116
2099,2736
2100,2638
2101,1523
2102,1465
2103,2158
2104,914
2105,1690
2106,1332
2107,2696
2108,2139
2109,1927
2110,1888
2111,934
2112,1293
2113,2217
2114,2402
2115,785
2116,2677
2117,766
2118,1908
2119,1504
2120,1966
2121,2441
2122,1729
2123,2716
2124,1274
2125,1986
2126,1136
2127,1710
2128,2383
2129,1078
2130,2461
2131,1097
2132,1671
2133,1313
2134,632
2135,915
2136,2658
2137,1117
2138,1543
2139,1524
2140,2178
2141,1485
2142,786
2143,1275
2144,2198
2145,1333
2146,1947
2147,767
2148,2422
2149,1749
2150,1294
2151,1466
2152,2697
2153,1505
2154,1928
2155,954
2156,1691
2157,1098
2158,2403
2159,2159
2160,935
2161,2140
2162,1967
2163,2179
2164,916
2165,1486
2166,1672
2167,2737
2168,1730
2169,2678
2170,633
2171,1314
2172,1137
2173,2160
2174,1525
2175,2717
2176,1118
2177,2384
2178,2218
2179,2442
2180,2659
2181,768
2182,1987
2183,1544
2184,2462
2185,1295
2186,1948
2187,1750
2188,2199
2189,2482
2190,2423
2191,1711
2192,1909
2193,1467
2194,955
2195,1506
2196,2404
2197,1334
2198,2698
2199,1276
2200,2718
2201,1545
2202,2180
2203,787
2204,1731
2205,2141
2206,1487
2207,1929
2208,1315
2209,2219
2210,1692
2211,1138
2212,2660
2213,936
2214,1099
2215,956
2216,1968
2217,2738
2218,2443
2219,2679
2220,1770
2221,1949
2222,1526
2223,1119
2224,2161
2225,1296
2226,634
2227,1910
2228,788
2229,1712
2230,1468
2231,2699
2232,1751
2233,2463
2234,2424
2235,1988
2236,1100
2237,1277
2238,2200
2239,1335
2240,1693
2241,1316
2242,2142
2243,1507
2244,1139
2245,2483
2246,937
2247,1930
2248,1969
2249,1488
2250,2405
2251,2181
2252,2680
2253,2220
2254,1732
2255,2444
2256,2719
2257,957
2258,1546
2259,1911
2260,1527
2261,789
2262,2661
2263,1950
2264,1752
2265,2739
2266,1120
2267,1771
2268,2162
2269,1297
2270,2240
2271,1694
2272,1336
2273,2464
2274,2201
2275,1278
2276,1713
2277,1101
2278,790
2279,1989
2280,938
2281,1733
2282,2681
2283,2484
2284,2406
2285,2700
2286,1931
2287,958
2288,2182
2289,1298
2290,1140
2291,2221
2292,2425
2293,1772
2294,1912
2295,2720
2296,1970
2297,1508
2298,1489
2299,1714
2300,1951
2301,2445
2302,2662
2303,1547
2304,1753
2305,2163
2306,1337
2307,1317
2308,2760
2309,1990
2310,1528
2311,939
2312,1121
2313,1490
2314,1695
2315,1509
2316,2241
2317,1102
2318,2426
2319,1141
2320,2202
2321,2701
2322,1932
2323,2465
2324,2485
2325,2183
2326,2740
