,area,demand,demand_met,energy_purchased,energy_sold,panel_area,pct_dem_met,population,reward_risk,storage,total_prod,wind_mills
0,1000.0,0.0,0.0,4147025.30874,0.0,0.0,0.0,50000.0,,0.0,0.0,0.0
0,1000.0,0.0,0.0,4142875.8108,0.0,0.0,0.0,50000.0,,100.0,0.0,0.0
0,1000.0,5.55555555556e-06,5.55555555556e-06,4142391.2338,0.427465922034,0.0,0.0,50000.0,,200.0,0.0,0.0
0,1000.0,5.55555555556e-06,5.55555555556e-06,4145821.68945,0.549632428736,0.0,0.0,50000.0,,300.0,0.0,0.0
0,1000.0,2.77777777778e-06,2.77777777778e-06,4144799.73434,0.00110983315163,0.0,0.0,50000.0,,400.0,0.0,0.0
0,1000.0,0.0,0.0,4145107.84016,0.0,0.0,0.0,50000.0,,500.0,0.0,0.0
0,1000.0,0.0,0.0,4144934.15903,0.0,0.0,0.0,50000.0,,600.0,0.0,0.0
0,1000.0,0.0,0.0,4146273.62664,0.0,0.0,0.0,50000.0,,700.0,0.0,0.0
0,1000.0,0.0,0.0,4145428.0391,0.0,0.0,0.0,50000.0,,800.0,0.0,0.0
0,1000.0,0.0,0.0,4143203.00186,0.0,0.0,0.0,50000.0,,900.0,0.0,0.0
0,1000.0,2.77777777778e-06,2.77777777778e-06,4145127.19683,0.0,0.0,0.0,50000.0,,1000.0,0.0,0.0
0,1000.0,0.0,0.0,4145800.15236,0.0,0.0,0.0,50000.0,,1100.0,0.0,0.0
0,1000.0,5.55555555556e-06,5.55555555556e-06,4142612.86941,0.0,0.0,0.0,50000.0,,1200.0,0.0,0.0
0,1000.0,2.77777777778e-06,2.77777777778e-06,4143008.95221,0.0,0.0,0.0,50000.0,,1300.0,0.0,0.0
0,1000.0,0.0,0.0,4143816.65631,0.0,0.0,0.0,50000.0,,1400.0,0.0,0.0
0,1000.0,2.77777777778e-06,2.77777777778e-06,4143182.00955,0.0,0.0,0.0,50000.0,,1500.0,0.0,0.0
0,1000.0,0.0,0.0,4145122.00027,0.0,0.0,0.0,50000.0,,1600.0,0.0,0.0
0,1000.0,0.0,0.0,4143832.68471,0.0,0.0,0.0,50000.0,,1700.0,0.0,0.0
0,1000.0,0.0,0.0,4143177.95755,0.0,0.0,0.0,50000.0,,1800.0,0.0,0.0
0,1000.0,0.0,0.0,4145995.78702,0.0,0.0,0.0,50000.0,,1900.0,0.0,0.0
0,1000.0,0.0,0.0,4144195.14572,0.0,0.0,0.0,50000.0,,2000.0,0.0,0.0
0,1000.0,0.0,0.0,4146906.09994,0.0,0.0,0.0,50000.0,,2100.0,0.0,0.0
0,1000.0,2.77777777778e-06,2.77777777778e-06,4146015.51284,0.0,0.0,0.0,50000.0,,2200.0,0.0,0.0
0,1000.0,0.0,0.0,4143303.12534,0.0,0.0,0.0,50000.0,,2300.0,0.0,0.0
0,1000.0,0.0,0.0,4144673.27373,0.0,0.0,0.0,50000.0,,2400.0,0.0,0.0
0,1100.0,2.77777777778e-06,2.77777777778e-06,3990058.46384,0.347723121532,100.0,0.0404812491129,50000.0,2.96483787406,0.0,430.648977074,0.0
0,1100.0,2.77777777778e-06,2.77777777778e-06,3991578.49654,0.346172879529,100.0,0.0401482206432,50000.0,2.97615806866,100.0,431.173253316,0.0
0,1100.0,2.77777777778e-06,2.77777777778e-06,3991297.63959,0.446921755185,100.0,0.0396842422254,50000.0,2.97313944982,200.0,430.739219976,0.0
0,1100.0,5.55555555556e-06,5.55555555556e-06,3989151.43631,0.608701327021,100.0,0.0425320759274,50000.0,2.96741089349,300.0,430.695396383,0.0
0,1100.0,5.55555555556e-06,5.55555555556e-06,3986035.38412,3.8568167212,100.0,0.0397519204869,50000.0,2.96678334125,400.0,430.569778302,0.0
0,1100.0,2.77777777778e-06,2.77777777778e-06,3988859.1914,0.139112353886,100.0,0.0407798647366,50000.0,2.97174984114,500.0,430.761411931,0.0
0,1100.0,5.55555555556e-06,5.55555555556e-06,3989580.0358,0.958826900789,100.0,0.0400995330308,50000.0,2.97349875235,600.0,430.75822881,0.0
0,1100.0,2.77777777778e-06,2.77777777778e-06,3989131.23739,0.0,100.0,0.041731822053,50000.0,2.96402563041,700.0,430.749141494,0.0
